,SUBS_ID,DATE_CALC,TARIFF_ID,CHARGE,SUPPORT_4G,SUPPORT_3G,LTE_TRAFF_FLAG,SMS_IN_CNT,SMS_OUT_CNT,CALLS_IN_CNT,CALLS_OUT_CNT,LIFE_TIME,DURATION_IN_MIN,DURATION_OUT_MIN,DATA_TRAFFIC_MB,SESSIONS_CNT,RECHARGE,RECHARGE_CNT,Выборка,tariff_changed
48,2070,2019-07-01,300.0,32.38,1,1,1.0,17,1,58,16,5213.0,166,15.43,0.15,284,100.0,1,1,0
49,2070,2019-08-01,300.0,61.25,1,1,1.0,13,7,89,18,5244.0,212,19.45,0.44,373,0.0,0,1,0
50,2070,2019-09-01,300.0,50.38,1,1,1.0,13,1,70,19,5274.0,161,89.9,0.23,340,100.0,1,1,0
51,2110,2019-07-01,135.0,372.49,1,1,1.0,47,0,32,58,5213.0,69,90.12,169.98,1717,750.1,1,1,0
52,2110,2019-08-01,135.0,352.5,1,1,1.0,32,0,25,28,5244.0,45,19.63,402.32,1618,0.0,0,1,0
53,2110,2019-09-01,135.0,352.5,1,1,1.0,23,0,20,38,5274.0,37,57.6,482.83,1346,919.0,1,1,0
54,2160,2019-07-01,300.0,15.6,0,0,0.0,13,0,32,10,5213.0,142,73.88,0.0,0,0.0,0,1,0
55,2160,2019-08-01,300.0,7.2,0,0,0.0,4,0,41,4,5244.0,291,22.07,0.0,0,0.0,0,1,0
56,2160,2019-09-01,300.0,10.8,0,0,0.0,0,0,16,6,5274.0,152,71.63,0.0,0,0.0,0,1,0
57,2185,2019-07-01,300.0,14.6,0,0,0.0,4,0,7,7,5213.0,48,42.63,0.0,1,0.0,0,1,0
58,2185,2019-08-01,300.0,48.0,0,0,0.0,5,0,7,13,5244.0,6,20.05,0.0,2,100.0,1,1,0
59,2185,2019-09-01,300.0,48.6,0,0,0.0,4,0,11,26,5274.0,14,22.37,0.0,0,0.0,0,1,0
63,2325,2019-07-01,300.0,262.5,1,1,0.0,130,0,30,279,5213.0,114,492.48,0.0,0,150.0,1,1,0
64,2325,2019-08-01,300.0,281.1,1,1,0.0,63,1,44,280,5244.0,132,543.58,0.0,0,300.0,2,1,0
65,2325,2019-09-01,300.0,246.6,1,1,0.0,9,0,35,231,5274.0,80,476.4,0.0,0,200.0,2,1,0
66,2358,2019-07-01,135.0,329.5,1,1,1.0,173,20,65,133,5213.0,191,361.58,1020.07,2247,350.0,1,1,0
67,2358,2019-08-01,135.0,2120.46,1,1,1.0,235,14,54,87,5244.0,156,202.67,568.06,1500,2400.0,8,1,0
68,2358,2019-09-01,135.0,633.4,1,1,1.0,178,23,39,59,5274.0,92,130.7,1739.81,2226,900.0,3,1,0
69,2399,2019-07-01,260.0,136.26,0,0,0.0,95,0,60,37,5213.0,105,64.58,0.0,0,100.0,1,1,0
70,2399,2019-08-01,260.0,43.96,0,0,0.0,67,0,44,22,5244.0,36,12.08,0.0,0,100.0,1,1,0
71,2399,2019-09-01,260.0,32.3,0,0,0.0,84,1,20,16,5274.0,13,8.35,0.0,0,100.0,1,1,0
72,2437,2019-07-01,523.0,213.9,0,0,0.0,62,0,76,112,5213.0,130,173.45,0.0,0,196.0,3,1,0
73,2437,2019-08-01,523.0,241.0,0,0,0.0,38,0,96,124,5244.0,139,258.6,0.0,0,242.0,3,1,0
74,2437,2019-09-01,523.0,264.8,0,0,0.0,40,1,99,154,5274.0,111,244.47,0.0,0,350.0,3,1,0
75,2557,2019-07-01,300.0,285.9,1,1,0.0,104,2,198,159,5213.0,822,776.15,0.0,0,300.0,1,1,0
76,2557,2019-08-01,300.0,405.0,1,1,0.0,109,8,98,105,5244.0,397,520.3,0.0,0,400.0,2,1,0
77,2557,2019-09-01,300.0,235.8,1,1,0.0,135,5,137,95,5274.0,816,418.58,0.0,0,800.0,2,1,0
78,2574,2019-07-01,135.0,494.5,0,0,0.0,149,26,270,394,5213.0,335,868.95,0.0,1,800.0,3,1,0
79,2574,2019-08-01,135.0,494.3,0,0,0.0,143,8,398,380,5244.0,536,577.98,0.0,1,500.0,3,1,0
80,2574,2019-09-01,135.0,791.2,0,0,0.0,120,15,276,328,5274.0,315,792.18,0.0,1,750.0,3,1,0
81,2608,2019-07-01,300.0,1.5,0,1,0.0,13,0,0,2,5213.0,0,0.65,0.0,0,0.0,0,1,0
82,2608,2019-08-01,300.0,5.4,0,1,0.0,14,0,0,2,5244.0,0,1.5,0.0,0,0.0,0,1,0
83,2608,2019-09-01,300.0,18.0,0,1,0.0,6,0,1,2,5274.0,2,9.08,0.0,0,0.0,0,1,0
84,2841,2019-07-01,260.0,417.23,0,0,0.0,60,0,50,45,5213.0,309,336.77,0.0,0,500.0,2,1,0
85,2841,2019-08-01,260.0,179.53,0,0,0.0,59,0,33,26,5244.0,191,104.98,0.0,0,700.0,1,1,0
86,2841,2019-09-01,260.0,763.48,0,0,0.0,54,0,26,40,5274.0,146,184.32,0.0,0,300.0,1,1,0
87,2882,2019-07-01,130.0,228.79,0,1,0.0,112,0,95,125,5213.0,776,960.12,0.0,0,250.0,2,1,0
88,2882,2019-08-01,130.0,265.63,0,1,0.0,112,0,113,101,5244.0,730,680.1,1.6,77,250.0,2,1,0
89,2882,2019-09-01,130.0,208.59,0,1,0.0,78,2,93,89,5274.0,714,652.3,2.27,42,170.0,2,1,0
90,3008,2019-07-01,450.0,41.0,0,0,0.0,13,0,29,33,5213.0,176,245.4,0.0,0,0.0,0,1,0
91,3008,2019-08-01,450.0,44.6,0,0,0.0,11,0,14,38,5244.0,72,380.12,0.0,0,0.0,0,1,0
92,3008,2019-09-01,450.0,48.0,0,0,0.0,4,0,16,45,5274.0,94,344.65,0.0,0,0.0,0,1,0
93,3132,2019-07-01,588.0,250.0,0,1,0.0,34,0,33,61,5213.0,101,150.67,0.0,0,481.5,2,1,0
94,3132,2019-08-01,588.0,250.0,0,1,0.0,39,0,34,77,5244.0,74,268.18,0.0,0,0.0,0,1,0
95,3132,2019-09-01,588.0,250.0,0,1,0.0,32,0,55,52,5274.0,162,137.48,0.0,0,250.0,1,1,0
96,3243,2019-07-01,300.0,100.8,0,1,0.0,154,1,63,57,5213.0,254,249.07,0.0,0,0.0,0,1,0
97,3243,2019-08-01,300.0,152.6,0,1,0.0,154,4,45,64,5244.0,160,198.3,0.0,0,200.0,1,1,0
98,3243,2019-09-01,300.0,249.05,0,1,0.0,180,6,64,53,5274.0,172,167.1,0.0,0,300.0,2,1,0
99,3284,2019-07-01,135.0,225.8,0,0,1.0,308,50,434,430,5213.0,778,727.1,2426.83,908,0.0,0,1,0
100,3284,2019-08-01,135.0,1375.55,0,0,1.0,253,48,264,216,5244.0,645,399.08,75.35,241,1200.0,4,1,0
101,3284,2019-09-01,135.0,450.8,0,0,1.0,220,35,358,340,5274.0,565,483.17,221.66,346,800.0,2,1,0
102,3318,2019-07-01,300.0,456.49,1,1,0.0,111,8,72,24,5213.0,167,87.63,8.25,1646,400.0,3,1,0
103,3318,2019-08-01,300.0,248.9,1,1,0.0,124,15,75,42,5244.0,365,224.55,0.03,4,400.0,3,1,0
104,3318,2019-09-01,300.0,405.6,1,1,0.0,125,31,96,72,5274.0,257,399.07,0.0,0,350.0,3,1,0
105,3404,2019-07-01,260.0,30.4,0,0,0.0,1,0,0,7,5213.0,0,2.52,0.0,0,0.0,0,1,0
106,3404,2019-08-01,260.0,6.0,0,0,0.0,1,0,1,4,5244.0,1,1.12,0.0,0,0.0,0,1,0
107,3404,2019-09-01,260.0,0.0,0,0,0.0,5,0,1,0,5274.0,2,0.0,0.0,0,0.0,0,1,0
108,3412,2019-07-01,135.0,590.82,1,1,1.0,113,14,4,4,5213.0,20,3.9,86.78,330,1000.0,1,1,0
109,3412,2019-08-01,135.0,726.54,1,1,1.0,115,9,36,11,5244.0,143,73.47,936.18,959,400.0,2,1,0
110,3412,2019-09-01,135.0,358.0,1,1,1.0,133,32,80,13,5274.0,190,70.85,2196.18,1403,700.0,1,1,0
111,3428,2019-07-01,610.0,225.0,1,1,1.0,37,1,31,71,5213.0,102,159.17,15707.71,3484,280.0,2,1,0
112,3428,2019-08-01,610.0,225.0,1,1,1.0,67,3,74,175,5244.0,180,430.63,9604.99,4291,170.0,1,1,0
113,3428,2019-09-01,610.0,295.8,1,1,1.0,132,4,85,208,5274.0,224,505.02,10285.31,4114,300.0,1,1,0
114,3436,2019-07-01,588.0,471.0,1,1,1.0,207,4,224,185,5213.0,372,432.52,4019.94,2395,450.0,2,1,0
115,3436,2019-08-01,588.0,277.0,1,1,1.0,192,5,153,186,5244.0,416,652.38,5749.52,2115,424.0,3,1,0
116,3436,2019-09-01,588.0,500.0,1,1,1.0,224,1,240,265,5274.0,749,1242.65,12356.58,1934,600.0,3,1,0
117,3444,2019-07-01,135.0,301.79,1,1,0.0,273,28,142,216,5213.0,350,444.75,190.2,2554,0.0,0,1,0
118,3444,2019-08-01,135.0,355.4,1,1,0.0,227,50,113,157,5244.0,325,272.43,119.78,2283,600.0,1,1,0
119,3444,2019-09-01,135.0,350.0,1,1,0.0,194,12,160,190,5274.0,500,492.42,217.33,1995,500.0,1,1,0
120,3461,2019-07-01,555.0,505.6,1,1,0.0,85,8,62,53,5213.0,44,197.62,619.94,1893,400.0,4,1,0
121,3461,2019-08-01,555.0,200.4,1,1,0.0,55,1,63,64,5244.0,44,191.38,890.56,1436,200.0,2,1,0
122,3461,2019-09-01,555.0,398.0,1,1,0.0,64,8,50,50,5274.0,69,144.38,59.8,243,500.0,4,1,0
123,3505,2019-07-01,300.0,284.7,0,0,0.0,16,0,165,151,5213.0,735,353.75,0.0,0,250.0,1,1,0
124,3505,2019-08-01,300.0,435.3,0,0,0.0,20,0,144,209,5244.0,465,506.95,0.0,0,550.0,2,1,0
125,3505,2019-09-01,300.0,342.0,0,0,0.0,14,1,158,147,5274.0,570,389.53,0.0,0,250.0,1,1,0
126,3567,2019-07-01,548.0,358.9,1,1,1.0,109,6,34,47,5213.0,145,173.6,2272.23,1841,300.0,1,1,0
127,3567,2019-08-01,548.0,366.9,1,1,1.0,148,8,28,60,5244.0,83,215.73,2595.83,2179,350.0,1,1,0
128,3567,2019-09-01,548.0,377.0,1,1,1.0,142,15,47,79,5274.0,173,252.95,656.22,1541,1000.0,1,1,0
129,3592,2019-07-01,300.0,17.1,1,1,0.0,154,0,40,10,5213.0,148,15.78,0.0,0,0.0,0,1,0
130,3592,2019-08-01,300.0,50.1,1,1,0.0,191,1,66,24,5244.0,154,21.47,0.0,0,0.0,0,1,0
131,3592,2019-09-01,300.0,132.4,1,1,0.0,64,0,68,29,5274.0,172,82.48,0.0,0,0.0,0,1,0
132,3602,2019-07-01,555.0,299.8,0,1,0.0,37,0,57,45,5213.0,100,73.3,1694.46,1122,100.0,1,1,0
133,3602,2019-08-01,555.0,697.0,0,0,1.0,226,11,71,43,5244.0,121,112.75,2646.26,1023,730.0,5,1,0
134,3602,2019-09-01,555.0,275.0,0,0,1.0,252,7,115,78,5274.0,316,103.08,6556.32,2459,300.0,2,1,0
135,3610,2019-07-01,300.0,12.0,1,1,0.0,22,1,23,4,5213.0,43,7.72,0.0,0,0.0,0,1,0
136,3610,2019-08-01,300.0,14.4,1,1,0.0,11,3,20,5,5244.0,55,4.37,0.0,0,0.0,0,1,0
137,3610,2019-09-01,300.0,238.2,1,1,0.0,28,1,33,23,5274.0,83,90.93,0.0,0,200.0,2,1,0
138,3762,2019-07-01,135.0,304.99,1,1,1.0,134,3,279,216,5213.0,465,296.62,3409.98,1836,300.0,1,1,0
139,3762,2019-08-01,135.0,464.8,1,1,1.0,95,6,265,236,5244.0,515,274.58,743.16,2442,620.0,2,1,0
140,3762,2019-09-01,135.0,790.2,1,1,1.0,98,16,293,251,5274.0,459,290.3,138.62,2565,900.0,3,1,0
141,3892,2019-07-01,135.0,302.49,0,0,1.0,178,7,201,312,5213.0,375,627.05,3550.51,1902,300.0,1,1,0
142,3892,2019-08-01,135.0,376.0,0,0,1.0,175,3,155,299,5244.0,304,780.47,4577.83,1543,400.0,1,1,0
143,3892,2019-09-01,135.0,356.0,0,0,1.0,126,3,100,183,5274.0,143,428.35,5024.4,1362,350.0,1,1,0
144,3979,2019-07-01,260.0,0.0,0,1,0.0,203,1,27,0,5213.0,85,0.0,0.0,0,0.0,0,1,0
145,3979,2019-08-01,260.0,0.0,0,1,0.0,234,1,27,1,5244.0,73,0.05,0.0,0,10.0,1,1,0
146,3979,2019-09-01,260.0,2.0,0,1,0.0,199,3,34,0,5274.0,47,0.0,0.0,0,10.0,1,1,0
147,4003,2019-07-01,548.0,300.0,1,1,1.0,78,5,136,68,5213.0,244,207.58,5638.4,2146,300.0,1,1,0
148,4003,2019-08-01,548.0,300.0,1,1,1.0,73,5,124,69,5244.0,228,259.53,6566.78,1573,300.0,1,1,0
149,4003,2019-09-01,548.0,300.0,1,1,1.0,111,5,139,82,5274.0,267,232.03,9294.35,1499,449.17,2,1,0
150,4022,2019-07-01,121.0,117.8,0,0,0.0,97,0,25,24,5213.0,32,121.97,0.0,0,100.0,1,1,0
151,4022,2019-08-01,121.0,54.0,0,0,0.0,88,0,30,28,5244.0,47,41.5,0.0,0,0.0,0,1,0
152,4022,2019-09-01,121.0,42.0,0,0,0.0,78,0,39,30,5274.0,84,26.4,0.0,0,100.0,1,1,0
153,4131,2019-07-01,524.0,0.0,0,1,0.0,0,0,0,0,5213.0,0,0.0,0.0,0,0.0,0,1,0
154,4131,2019-08-01,524.0,7.2,0,0,0.0,20,1,1,1,5244.0,3,4.0,0.0,0,0.0,0,1,0
155,4131,2019-09-01,524.0,110.4,0,0,0.0,111,0,31,20,5274.0,54,36.78,0.0,0,200.0,1,1,0
156,4139,2019-07-01,524.0,139.0,0,0,0.0,59,0,22,40,5213.0,74,241.15,0.0,0,140.0,1,1,0
157,4139,2019-08-01,524.0,139.0,0,0,0.0,30,0,35,46,5244.0,223,264.4,0.0,0,140.0,1,1,0
158,4139,2019-09-01,524.0,153.4,0,0,0.0,23,0,30,41,5274.0,140,231.97,0.0,0,140.0,1,1,0
159,4183,2019-07-01,306.0,84.84,0,0,0.0,55,1,99,64,5213.0,228,168.08,0.0,0,0.0,0,1,0
160,4183,2019-08-01,306.0,22.98,0,0,0.0,62,1,99,22,5244.0,233,18.22,0.0,0,100.0,1,1,0
161,4183,2019-09-01,306.0,22.38,0,0,0.0,45,0,92,19,5274.0,178,15.77,0.0,0,0.0,0,1,0
162,4270,2019-07-01,121.0,118.2,0,1,0.0,53,1,170,126,5213.0,391,157.4,0.0,0,100.0,2,1,0
163,4270,2019-08-01,121.0,275.0,0,1,0.0,73,0,188,178,5244.0,497,366.23,0.0,0,300.0,6,1,0
164,4270,2019-09-01,121.0,200.2,0,1,0.0,27,0,123,104,5274.0,296,120.25,0.64,65,200.0,4,1,0
165,4466,2019-07-01,265.0,69.52,0,0,0.0,6,0,14,9,5214.0,32,31.12,0.0,0,0.0,0,1,0
166,4466,2019-08-01,265.0,4.53,0,0,0.0,0,0,20,2,5245.0,54,1.43,0.0,0,0.0,0,1,0
167,4466,2019-09-01,265.0,0.0,1,1,0.0,6,0,5,0,5275.0,8,0.0,0.0,0,0.0,0,1,0
168,4486,2019-07-01,265.0,403.08,0,0,0.0,35,0,60,51,5214.0,151,124.15,0.0,0,300.0,1,1,0
169,4486,2019-08-01,265.0,386.75,0,0,0.0,20,0,39,39,5245.0,90,91.65,0.0,0,400.0,3,1,0
170,4486,2019-09-01,265.0,170.45,0,0,0.0,10,0,57,31,5275.0,130,52.5,0.0,0,200.0,1,1,0
171,4634,2019-07-01,135.0,341.77,1,1,1.0,116,11,54,85,5214.0,240,200.0,1642.9,1386,1000.0,1,1,0
172,4634,2019-08-01,135.0,360.0,1,1,1.0,158,3,91,121,5245.0,246,386.28,4207.83,1758,0.0,0,1,0
173,4634,2019-09-01,135.0,352.5,1,1,1.0,181,10,82,111,5275.0,281,206.22,4064.45,1608,200.0,1,1,0
174,4799,2019-07-01,548.0,580.0,1,1,1.0,53,1,45,58,5215.0,78,150.35,3058.13,1676,300.0,1,1,0
175,4799,2019-08-01,548.0,330.0,1,1,1.0,69,5,46,67,5246.0,148,203.4,5874.28,1335,1300.0,2,1,0
176,4799,2019-09-01,548.0,300.0,1,1,1.0,48,2,33,66,5276.0,34,102.72,1429.14,816,300.0,1,1,0
177,4918,2019-07-01,300.0,90.05,1,1,0.0,29,1,30,33,5215.0,121,104.23,0.0,0,100.0,2,1,0
178,4918,2019-08-01,300.0,9.4,1,1,0.0,8,0,27,3,5246.0,167,20.6,0.0,0,0.0,0,1,0
179,4918,2019-09-01,300.0,42.95,1,1,0.0,30,1,7,17,5276.0,15,64.88,0.0,0,100.0,1,1,0
180,5794,2019-07-01,121.0,26.2,1,1,0.0,126,4,38,8,5216.0,53,4.65,0.0,0,100.0,2,1,0
181,5794,2019-08-01,121.0,3.0,1,1,0.0,78,1,12,1,5247.0,24,0.15,0.0,0,0.0,0,1,0
182,5794,2019-09-01,121.0,3.0,1,1,0.0,82,1,18,1,5277.0,54,0.82,0.0,0,0.0,0,1,0
183,5845,2019-07-01,588.0,250.0,0,0,1.0,304,12,280,198,5217.0,652,242.38,4510.84,1137,250.0,1,1,0
184,5845,2019-08-01,588.0,250.0,0,0,1.0,273,17,317,187,5248.0,687,245.5,3102.16,2219,250.0,1,1,0
185,5845,2019-09-01,588.0,250.0,0,0,1.0,238,13,287,150,5278.0,735,254.2,3235.44,2381,500.0,2,1,0
186,5956,2019-07-01,260.0,35.49,0,0,0.0,73,0,24,30,5218.0,20,21.62,0.0,0,200.0,1,1,0
187,5956,2019-08-01,260.0,61.08,0,0,0.0,32,3,53,43,5249.0,75,30.5,0.0,0,0.0,0,1,0
188,5956,2019-09-01,260.0,59.46,0,0,0.0,111,11,42,26,5279.0,46,24.5,0.0,0,0.0,0,1,0
192,6512,2019-07-01,265.0,3.0,0,0,0.0,3,0,0,1,5221.0,0,0.2,0.0,0,0.0,0,1,0
193,6512,2019-08-01,265.0,2.0,0,0,0.0,0,0,0,1,5252.0,0,0.12,0.0,0,0.0,0,1,0
194,6512,2019-09-01,265.0,0.0,0,0,0.0,0,0,0,0,5282.0,0,0.0,0.0,0,0.0,0,1,0
195,6532,2019-07-01,265.0,136.9,0,0,0.0,37,1,500,39,5221.0,683,32.67,0.0,0,400.0,1,1,0
196,6532,2019-08-01,265.0,2.47,0,0,0.0,18,0,451,1,5252.0,584,1.23,0.0,0,0.0,0,1,0
197,6532,2019-09-01,265.0,132.75,0,0,0.0,5,1,439,34,5282.0,585,34.15,0.0,0,0.0,0,1,0
198,7415,2019-07-01,246.0,116609.08,1,1,1.0,75,0,275,24,5386.0,502,46.17,17357.43,4676,0.0,0,1,0
199,7415,2019-08-01,246.0,101655.02,1,1,1.0,70,0,286,0,5417.0,573,0.0,15136.88,4470,0.0,0,1,0
200,7415,2019-09-01,246.0,156138.85,1,1,1.0,34,0,215,0,5447.0,435,0.0,23391.72,4565,0.0,0,1,0
201,7827,2019-07-01,198.0,2033.29,1,1,0.0,166,16,796,283,5386.0,1143,298.05,0.0,0,7000.0,1,1,0
202,7827,2019-08-01,198.0,3414.41,1,1,0.0,207,35,812,587,5417.0,1151,694.98,0.0,0,3000.0,1,1,0
203,7827,2019-09-01,198.0,640.12,1,1,0.0,147,5,580,65,5447.0,850,81.12,0.0,0,6000.0,1,1,0
204,8164,2019-07-01,213.0,901.55,0,0,0.0,226,12,336,107,5386.0,407,115.73,0.0,0,2350.0,2,1,0
205,8164,2019-08-01,213.0,2059.82,0,0,0.0,200,26,299,301,5417.0,388,399.53,0.0,0,2100.0,1,1,0
206,8164,2019-09-01,213.0,428.16,0,0,0.0,249,19,293,47,5447.0,373,64.72,0.0,0,2100.0,2,1,0
207,10795,2019-07-01,260.0,3.2,0,0,0.0,2,0,0,1,5213.0,0,1.07,0.0,0,0.0,0,1,0
208,10795,2019-08-01,260.0,7.35,0,0,0.0,6,0,0,2,5244.0,0,2.32,0.0,0,0.0,0,1,0
209,10795,2019-09-01,260.0,0.0,0,0,0.0,7,0,0,0,5274.0,0,0.0,0.0,0,0.0,0,1,0
210,10878,2019-07-01,588.0,250.0,0,0,1.0,31,0,58,48,5213.0,167,80.98,0.13,165,250.0,1,1,0
211,10878,2019-08-01,588.0,250.0,0,0,1.0,32,0,53,37,5244.0,196,121.05,0.11,93,250.0,1,1,0
212,10878,2019-09-01,588.0,250.0,0,0,1.0,26,0,39,39,5274.0,71,42.82,2.34,101,500.0,2,1,0
213,10892,2019-07-01,548.0,300.0,1,1,1.0,60,4,44,59,5213.0,335,471.32,956.35,1156,300.0,1,1,0
214,10892,2019-08-01,548.0,600.0,1,1,1.0,51,0,48,46,5244.0,626,380.82,82.11,679,500.0,1,1,0
215,10892,2019-09-01,548.0,396.0,1,1,1.0,37,12,43,59,5274.0,472,526.83,173.36,317,300.0,1,1,0
216,10923,2019-07-01,260.0,107.77,0,0,0.0,27,0,81,36,5213.0,234,47.7,0.0,0,200.0,1,1,0
217,10923,2019-08-01,260.0,63.45,0,0,0.0,9,0,69,26,5244.0,224,35.82,0.0,0,0.0,0,1,0
218,10923,2019-09-01,260.0,47.03,0,0,0.0,17,0,61,27,5274.0,139,27.65,0.0,0,200.0,1,1,0
219,11026,2019-07-01,260.0,22.13,0,0,0.0,7,0,28,12,5213.0,24,5.38,0.0,0,0.0,0,1,0
220,11026,2019-08-01,260.0,23.67,0,0,0.0,10,0,29,9,5244.0,12,5.22,0.0,0,0.0,0,1,0
221,11026,2019-09-01,260.0,26.95,0,0,0.0,1,0,28,15,5274.0,16,9.55,0.0,0,0.0,0,1,0
